1	1	777	2445
2	1	1361	1498
3	1	1749	2222
4	1	2036	1754
5	1	177	3453
6	1	2113	2445
7	1	76	741
8	1	2147	1314
9	1	280	983
10	1	2097	1417
11	1	1853	1938
12	1	1114	2034
13	1	1193	1488
14	1	1523	2641
15	1	1965	1403
16	1	1937	2115
17	1	1893	2471
18	1	261	2794
1	2	811	2370
2	2	1552	1516
3	2	2179	2262
4	2	2688	1764
5	2	164	3125
6	2	2855	2565
7	2	57	980
8	2	2875	1257
9	2	279	1148
10	2	2799	1379
11	2	2355	1963
12	2	1224	2024
13	2	1315	1515
14	2	1820	2666
15	2	2539	1375
16	2	2507	2163
17	2	2442	2554
18	2	243	2601
1	3	705	2126
2	3	1294	1519
3	3	1810	2105
4	3	2279	1726
5	3	236	2614
6	3	2420	2382
7	3	189	1145
8	3	2461	1316
9	3	341	1256
10	3	2392	1415
11	3	1971	1878
12	3	1024	1891
13	3	1102	1516
14	3	1534	2447
15	3	2148	1412
16	3	2102	2041
17	3	2005	2400
18	3	297	2260
1	4	719	2090
2	4	1157	1558
3	4	1699	2157
4	4	2384	1713
5	4	442	2415
6	4	2641	2633
7	4	408	1368
8	4	2695	1114
9	4	504	1430
10	4	2590	1273
11	4	1907	1908
12	4	939	1904
13	4	992	1571
14	4	1389	2479
15	4	2159	1325
16	4	2088	2111
17	4	2001	2477
18	4	471	2163
1	5	632	2066
2	5	1088	1451
3	5	1704	2158
4	5	2536	1613
5	5	357	2423
6	5	2858	2778
7	5	297	1253
8	5	2945	827
9	5	399	1321
10	5	2806	1042
11	5	1948	1860
12	5	859	1855
13	5	909	1471
14	5	1315	2460
15	5	2255	1131
16	5	2165	2110
17	5	2061	2552
18	5	378	2145
1	6	802	2197
2	6	1131	1595
3	6	1614	2340
4	6	2387	1743
5	6	609	2527
6	6	2730	3194
7	6	587	1431
8	6	2801	778
9	6	660	1491
10	6	2666	1053
